Found path: /home/kb/rlnd/p1/Banana_Linux/Banana.x86_64
Mono path[0] = '/home/kb/rlnd/p1/Banana_Linux/Banana_Data/Managed'
Mono config path = '/home/kb/rlnd/p1/Banana_Linux/Banana_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/kb/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 37
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
action size:  4
state size:  37
episode:  210  | episode reward:  6.0  |epsilon:  0.324
episode:  211  | episode reward:  6.0  |epsilon:  0.322
episode:  212  | episode reward:  3.0  |epsilon:  0.321
episode:  213  | episode reward:  7.0  |epsilon:  0.32
episode:  214  | episode reward:  3.0  |epsilon:  0.319
episode:  215  | episode reward:  6.0  |epsilon:  0.317
episode:  216  | episode reward:  3.0  |epsilon:  0.316
episode:  217  | episode reward:  1.0  |epsilon:  0.315
episode:  218  | episode reward:  10.0  |epsilon:  0.314
episode:  219  | episode reward:  7.0  |epsilon:  0.312
episode:  220  | episode reward:  1.0  |epsilon:  0.311
episode:  221  | episode reward:  10.0  |epsilon:  0.31
episode:  222  | episode reward:  1.0  |epsilon:  0.309
episode:  223  | episode reward:  5.0  |epsilon:  0.307
episode:  224  | episode reward:  10.0  |epsilon:  0.306
episode:  225  | episode reward:  4.0  |epsilon:  0.305
episode:  226  | episode reward:  1.0  |epsilon:  0.304
episode:  227  | episode reward:  3.0  |epsilon:  0.302
episode:  228  | episode reward:  9.0  |epsilon:  0.301
episode:  229  | episode reward:  9.0  |epsilon:  0.3
episode:  230  | episode reward:  2.0  |epsilon:  0.299
episode:  231  | episode reward:  11.0  |epsilon:  0.298
episode:  232  | episode reward:  6.0  |epsilon:  0.297
episode:  233  | episode reward:  7.0  |epsilon:  0.295
episode:  234  | episode reward:  9.0  |epsilon:  0.294
episode:  235  | episode reward:  0.0  |epsilon:  0.293
episode:  236  | episode reward:  2.0  |epsilon:  0.292
episode:  237  | episode reward:  7.0  |epsilon:  0.291
episode:  238  | episode reward:  4.0  |epsilon:  0.289
episode:  239  | episode reward:  10.0  |epsilon:  0.288
episode:  240  | episode reward:  1.0  |epsilon:  0.287
episode:  241  | episode reward:  5.0  |epsilon:  0.286
episode:  242  | episode reward:  4.0  |epsilon:  0.285
episode:  243  | episode reward:  6.0  |epsilon:  0.284
episode:  244  | episode reward:  1.0  |epsilon:  0.283
episode:  245  | episode reward:  3.0  |epsilon:  0.281
episode:  246  | episode reward:  4.0  |epsilon:  0.28
episode:  247  | episode reward:  9.0  |epsilon:  0.279
episode:  248  | episode reward:  7.0  |epsilon:  0.278
episode:  249  | episode reward:  6.0  |epsilon:  0.277
episode:  250  | episode reward:  7.0  |epsilon:  0.276
episode:  251  | episode reward:  4.0  |epsilon:  0.275
episode:  252  | episode reward:  5.0  |epsilon:  0.274
episode:  253  | episode reward:  11.0  |epsilon:  0.273
episode:  254  | episode reward:  8.0  |epsilon:  0.272
episode:  255  | episode reward:  5.0  |epsilon:  0.27
episode:  256  | episode reward:  4.0  |epsilon:  0.269
episode:  257  | episode reward:  9.0  |epsilon:  0.268
episode:  258  | episode reward:  11.0  |epsilon:  0.267
episode:  259  | episode reward:  9.0  |epsilon:  0.266
episode:  260  | episode reward:  8.0  |epsilon:  0.265
episode:  261  | episode reward:  7.0  |epsilon:  0.264
episode:  262  | episode reward:  8.0  |epsilon:  0.263
episode:  263  | episode reward:  10.0  |epsilon:  0.262
episode:  264  | episode reward:  8.0  |epsilon:  0.261
episode:  265  | episode reward:  9.0  |epsilon:  0.26
episode:  266  | episode reward:  6.0  |epsilon:  0.259
episode:  267  | episode reward:  7.0  |epsilon:  0.258
episode:  268  | episode reward:  10.0  |epsilon:  0.257
episode:  269  | episode reward:  9.0  |epsilon:  0.256
episode:  270  | episode reward:  3.0  |epsilon:  0.255
episode:  271  | episode reward:  6.0  |epsilon:  0.254
